COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,11/1/15,15:00:00,obsr243111,S25708493,20,0.322,2,1,G1456157
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,11/6/15,15:11:00,obsr241101,S25726903,20,0.402,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,11/15/15,8:30:00,obsr202620,S25845285,210,8.047,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,11/7/15,14:09:00,obsr241101,S25749378,50,,3,1,G1458977
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,11/7/15,11:30:00,obsr394378,S25740903,30,,3,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2439784,P,47.5726317,-122.4141097,11/28/15,11:13:00,obsr30851,S26036412,20,0.161,1,1,
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,11/26/15,9:58:00,obsr321312,S26056338,55,1.207,1,1,
Harlequin Duck,Histrionicus histrionicus,,21,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,11/8/15,13:20:00,obsr169860,S25760227,50,,2,1,
Harlequin Duck,Histrionicus histrionicus,,10,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,11/8/15,13:30:00,obsr533236,S25760510,30,,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,11/7/15,14:09:00,obsr321312,S25745524,50,,3,1,G1458977
Harlequin Duck,Histrionicus histrionicus,,10,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,11/7/15,11:30:00,obsr314919,S25776917,20,,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,11/21/15,9:50:00,obsr231565,S25941070,60,0.402,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L3244770,H,47.386887,-122.3266697,11/21/15,11:10:00,obsr231565,S25941011,15,,1,1,
Harlequin Duck,Histrionicus histrionicus,,6,United States,US,Washington,US-WA,King,US-WA-033,L2439784,P,47.5726317,-122.4141097,11/21/15,10:06:00,obsr30851,S25934501,15,0.322,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,11/27/15,7:00:00,obsr567508,S26099895,,,4,0,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,11/11/15,8:11:00,obsr437150,S25793906,180,4.828,2,1,G1462812
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L128530,H,47.663868,-122.4215317,11/11/15,8:11:00,obsr50351,S25796097,180,4.828,2,1,G1462812
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,11/15/15,13:15:00,obsr229640,S25953547,90,2.414,2,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,11/1/15,12:50:00,obsr229640,S25953422,120,,2,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L791486,H,47.5232362,-122.3943123,11/22/15,13:36:00,obsr554943,S25953248,91,4.828,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,11/22/15,7:45:00,obsr291158,S25955806,45,1.609,1,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,11/29/15,7:00:00,obsr567508,S26100180,,,4,0,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L571490,H,47.6618703,-122.4355298,11/1/15,7:00:00,obsr291158,S25663593,130,0.402,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,11/1/15,15:00:00,obsr231565,S25668765,20,0.322,2,1,G1456157
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L467222,H,47.7635752,-122.3851633,11/11/15,10:30:00,obsr642323,S25794063,120,1.287,2,0,
Harlequin Duck,Histrionicus histrionicus,,8,United States,US,Washington,US-WA,King,US-WA-033,L819811,P,47.5669131,-122.4108696,11/11/15,11:52:00,obsr97255,S25795153,135,3.219,2,1,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,11/22/15,11:15:00,obsr666215,S25959326,105,3.219,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L1790691,P,47.4904911,-122.3655956,11/14/15,8:24:00,obsr190728,S25827406,146,,3,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L467222,H,47.7635752,-122.3851633,11/14/15,10:45:00,obsr642323,S25826850,60,0.966,2,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,11/11/15,,obsr725950,S28589588,,,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L1284996,H,47.5402193,-122.3970294,11/11/15,,obsr725950,S28589702,,,1,1,
Harlequin Duck,Histrionicus histrionicus,,7,United States,US,Washington,US-WA,King,US-WA-033,L1799504,H,47.7739592,-122.3925439,11/14/15,8:55:00,obsr291158,S25830563,45,,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L571490,H,47.6618703,-122.4355298,11/15/15,9:55:00,obsr291158,S25848298,165,0.805,1,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L189242,H,47.47795,-122.362434,11/27/15,11:50:00,obsr231565,S26018160,35,0.805,2,1,G1479779
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L189242,H,47.47795,-122.362434,11/27/15,11:50:00,obsr243111,S26018218,35,0.805,2,1,G1479779
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L372653,H,47.6046584,-122.4168777,12/20/15,10:20:00,obsr400034,S26392304,35,13.84,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L2439784,P,47.5726317,-122.4141097,12/19/15,9:59:00,obsr30851,S26375282,6,,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,12/25/15,15:20:00,obsr417285,S26560605,25,,5,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L467222,H,47.7635752,-122.3851633,12/16/15,10:15:00,obsr187607,S30662409,135,2.414,1,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L1284994,H,47.563362,-122.4064708,12/22/15,12:06:00,obsr417285,S26416520,26,2.092,1,1,
Harlequin Duck,Histrionicus histrionicus,,9,United States,US,Washington,US-WA,King,US-WA-033,L331426,H,47.3733968,-122.3236098,12/22/15,9:00:00,obsr605395,S26420491,90,1.609,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L809071,H,47.3885078,-122.3736084,12/16/15,9:20:00,obsr202794,S26328994,55,,1,1,
Harlequin Duck,Histrionicus histrionicus,,5,United States,US,Washington,US-WA,King,US-WA-033,L2608551,H,47.5726544,-122.4140185,12/2/15,11:45:00,obsr653440,S26108047,,,1,0,
Harlequin Duck,Histrionicus histrionicus,,3,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,12/29/15,8:35:00,obsr231565,S26511050,35,2.414,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,12/28/15,13:00:00,obsr210144,S26501693,45,3.219,1,1,
Harlequin Duck,Histrionicus histrionicus,,2,United States,US,Washington,US-WA,King,US-WA-033,L207315,H,47.5841938,-122.4005256,12/28/15,13:30:00,obsr533236,S26521726,120,3.219,2,1,
Harlequin Duck,Histrionicus histrionicus,,1,United States,US,Washington,US-WA,King,US-WA-033,L186859,H,47.40234,-122.33128,12/28/15,11:30:00,obsr559580,S26499113,30,,4,1,
Harlequin Duck,Histrionicus histrionicus,,4,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,12/19/15,14:15:00,obsr231565,S26371797,20,0.644,1,1,
Harlequin Duck,Histrionicus histrionicus,,13,United States,US,Washington,US-WA,King,US-WA-033,L318691,H,47.5302762,-122.3955921,12/30/15,10:15:00,obsr605395,S26535562,120,3.219,1,1,
