COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTRY,COUNTRY_CODE,STATE_PROVINCE,SUBNATIONAL1_CODE,COUNTY,SUBNATIONAL2_CODE,BCR CODE,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/4/15,4:15:00,obsr22459,345,,161.8743,15,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,6/28/15,7:50:00,obsr195629,230,8.047,,3,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,6/28/15,7:50:00,obsr194831,230,8.047,,3,1
Lazuli Bunting,Passerina amoena,4,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,6/5/15,18:45:00,obsr499514,90,1.931,,2,1
Lazuli Bunting,Passerina amoena,3,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/25/15,3:45:00,obsr211837,380,,161.8743,8,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L257959,H,47.4066334,-122.2595633,6/28/15,7:50:00,obsr315154,230,8.047,,3,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L514231,H,47.6829127,-121.9239418,6/21/15,15:45:00,obsr527242,145,4.828,,2,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,9,L3738620,P,47.712378,-121.380049,6/20/15,11:22:00,obsr277578,205,3,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L3711269,P,47.4394,-122.064783,6/9/15,5:02:00,obsr161775,240,1.609,,1,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/15,4:15:00,obsr146271,300,,161.8743,12,1
Lazuli Bunting,Passerina amoena,2,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/11/15,4:15:00,obsr22459,300,,161.8743,12,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/27/15,13:03:00,obsr321305,78,3.219,,2,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L870628,P,47.5541057,-122.1663702,6/21/15,11:16:00,obsr195629,126,5.633,,1,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/18/15,3:45:00,obsr22459,390,,161.8743,6,1
Lazuli Bunting,Passerina amoena,1,United States,US,Washington,US-WA,King,US-WA-033,5,L351484,H,47.662576,-122.12052,6/18/15,3:45:00,obsr195629,390,,161.8743,6,1
Lazuli Bunting,Passerina amoena,X,United States,US,Washington,US-WA,King,US-WA-033,5,L735303,H,47.523852,-121.7963326,6/2/15,10:22:00,obsr223235,139,4.828,,1,1
Lazuli Bunting,Passerina amoena,6,United States,US,Washington,US-WA,King,US-WA-033,5,L3703553,P,47.2797732,-122.1525568,6/6/15,10:20:00,obsr632071,52,0.483,,17,1
